"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2019","0.002292","0.002340","0.002360","0.002277","166.23M","-2.05%"
"Jan 02, 2019","0.002340","0.002356","0.002365","0.002331","11.37M","-0.68%"
"Jan 01, 2019","0.002356","0.002333","0.002381","0.002315","22.81M","0.99%"
"Dec 31, 2018","0.002333","0.002333","0.002360","0.002304","284.29M","0.00%"
"Dec 30, 2018","0.002333","0.002310","0.002370","0.002310","131.53M","0.78%"
"Dec 29, 2018","0.002315","0.002380","0.002402","0.002315","184.96M","-2.81%"
"Dec 28, 2018","0.002382","0.002331","0.002401","0.002263","256.16M","2.19%"
"Dec 27, 2018","0.002331","0.002406","0.002422","0.002326","217.67M","-3.16%"
"Dec 26, 2018","0.002407","0.002418","0.002462","0.002377","250.75M","-0.33%"
"Dec 25, 2018","0.002415","0.002528","0.002534","0.002345","138.28M","-4.62%"
"Dec 24, 2018","0.002532","0.002523","0.002638","0.002520","223.26M","0.40%"
"Dec 23, 2018","0.002522","0.002481","0.002567","0.002470","209.82M","1.73%"
"Dec 22, 2018","0.002479","0.002506","0.002525","0.002375","189.69M","-1.08%"
"Dec 21, 2018","0.002506","0.002704","0.002751","0.002463","249.01M","-7.32%"
"Dec 20, 2018","0.002704","0.002696","0.002755","0.002567","143.39M","0.30%"
"Dec 19, 2018","0.002696","0.002586","0.002865","0.002586","183.07M","4.09%"
"Dec 18, 2018","0.002590","0.002585","0.002740","0.002526","133.55M","0.19%"
"Dec 17, 2018","0.002585","0.002155","0.002981","0.002143","302.92M","19.95%"
"Dec 16, 2018","0.002155","0.002099","0.002196","0.002098","156.89M","2.52%"
"Dec 15, 2018","0.002102","0.002105","0.002115","0.002095","99.36M","-0.19%"
"Dec 14, 2018","0.002106","0.002088","0.002119","0.002072","218.97M","0.81%"
"Dec 13, 2018","0.002089","0.002137","0.002137","0.002073","167.84M","-2.20%"
"Dec 12, 2018","0.002136","0.002134","0.002159","0.002120","188.62M","0.14%"
"Dec 11, 2018","0.002133","0.002143","0.002150","0.002110","144.05M","-0.47%"
"Dec 10, 2018","0.002143","0.002147","0.002170","0.002115","58.54M","-0.23%"
"Dec 09, 2018","0.002148","0.002162","0.002195","0.002125","155.94M","-0.56%"
"Dec 08, 2018","0.002160","0.002179","0.002200","0.002081","199.04M","-0.87%"
"Dec 07, 2018","0.002179","0.002126","0.002227","0.002069","166.54M","2.49%"
"Dec 06, 2018","0.002126","0.002248","0.002284","0.002126","159.32M","-5.38%"
"Dec 05, 2018","0.002247","0.002248","0.002320","0.002227","161.97M","0.00%"
"Dec 04, 2018","0.002247","0.002225","0.002289","0.002183","220.18M","0.99%"
"Dec 03, 2018","0.002225","0.002248","0.002248","0.002170","73.17M","-0.98%"
"Dec 02, 2018","0.002247","0.002248","0.002273","0.002217","146.63M","-0.04%"
"Dec 01, 2018","0.002248","0.002192","0.002269","0.002180","196.64M","2.55%"
"Nov 30, 2018","0.002192","0.002244","0.002258","0.002130","64.05M","-2.32%"
"Nov 29, 2018","0.002244","0.002266","0.002284","0.002187","133.85M","-0.88%"
"Nov 28, 2018","0.002264","0.002097","0.002329","0.002097","80.27M","7.96%"
"Nov 27, 2018","0.002097","0.002154","0.002154","0.002019","106.99M","-2.65%"
"Nov 26, 2018","0.002154","0.002268","0.002295","0.002056","183.47M","-5.03%"
"Nov 25, 2018","0.002268","0.002270","0.002298","0.002134","161.45M","-0.18%"
"Nov 24, 2018","0.002272","0.002396","0.002446","0.002266","223.63M","-5.18%"
"Nov 23, 2018","0.002396","0.002391","0.002438","0.002308","176.72M","0.29%"
"Nov 22, 2018","0.002389","0.002502","0.002519","0.002364","276.81M","-4.59%"
"Nov 21, 2018","0.002504","0.002353","0.002622","0.002225","93.09M","6.37%"
"Nov 20, 2018","0.002354","0.002455","0.002477","0.002216","188.04M","-3.96%"
"Nov 19, 2018","0.002451","0.002648","0.002747","0.002440","178.28M","-7.47%"
"Nov 18, 2018","0.002649","0.002620","0.002686","0.002558","162.92M","1.22%"
"Nov 17, 2018","0.002617","0.002780","0.002787","0.002566","186.45M","-6.00%"
"Nov 16, 2018","0.002784","0.002865","0.002883","0.002723","206.79M","-2.79%"
"Nov 15, 2018","0.002864","0.002771","0.002922","0.002495","109.33M","3.77%"
"Nov 14, 2018","0.002760","0.002970","0.003003","0.002620","202.64M","-7.07%"
"Nov 13, 2018","0.002970","0.003094","0.003115","0.002970","146.32M","-4.01%"
"Nov 12, 2018","0.003094","0.003178","0.003200","0.003033","174.46M","-2.64%"
"Nov 11, 2018","0.003178","0.003312","0.003336","0.003155","94.02M","-4.05%"
"Nov 10, 2018","0.003312","0.003151","0.003383","0.003073","161.66M","5.38%"
"Nov 09, 2018","0.003143","0.003363","0.003389","0.003066","238.64M","-7.31%"
"Nov 08, 2018","0.003391","0.003650","0.003658","0.003370","160.45M","-6.84%"
"Nov 07, 2018","0.003640","0.003707","0.003746","0.003630","143.49M","-1.81%"
"Nov 06, 2018","0.003707","0.003637","0.003808","0.003621","147.11M","1.92%"
"Nov 05, 2018","0.003637","0.003734","0.003745","0.003602","116.71M","-2.81%"
"Nov 04, 2018","0.003742","0.003763","0.003771","0.003709","166.75M","-0.56%"
"Nov 03, 2018","0.003763","0.003804","0.003807","0.003744","78.99M","-1.13%"
"Nov 02, 2018","0.003806","0.003790","0.003860","0.003773","148.05M","0.42%"
"Nov 01, 2018","0.003790","0.003814","0.003819","0.003759","181.08M","-0.63%"
"Oct 31, 2018","0.003814","0.003890","0.003928","0.003633","237.32M","-1.95%"
"Oct 30, 2018","0.003890","0.003861","0.003947","0.003853","163.62M","0.75%"
"Oct 29, 2018","0.003861","0.004046","0.004078","0.003830","215.02M","-4.57%"
"Oct 28, 2018","0.004046","0.004237","0.004237","0.004040","141.70M","-4.46%"
"Oct 27, 2018","0.004235","0.004109","0.004377","0.004080","108.41M","3.17%"
"Oct 26, 2018","0.004105","0.003756","0.004105","0.003753","157.08M","9.29%"
"Oct 25, 2018","0.003756","0.003965","0.003968","0.003699","177.04M","-5.27%"
"Oct 24, 2018","0.003965","0.004216","0.004216","0.003921","182.16M","-5.93%"
"Oct 23, 2018","0.004215","0.004445","0.004461","0.004183","121.54M","-5.17%"
"Oct 22, 2018","0.004445","0.004583","0.004605","0.004412","116.00M","-3.01%"
"Oct 21, 2018","0.004583","0.004648","0.004688","0.004578","132.21M","-1.40%"
"Oct 20, 2018","0.004648","0.004572","0.004676","0.004525","120.87M","1.57%"
"Oct 19, 2018","0.004576","0.004487","0.004725","0.004348","118.37M","1.92%"
"Oct 18, 2018","0.004490","0.004779","0.004880","0.004400","158.67M","-6.05%"
"Oct 17, 2018","0.004779","0.005155","0.005168","0.004600","107.19M","-7.29%"
"Oct 16, 2018","0.005155","0.005374","0.005374","0.005105","101.03M","-4.15%"
"Oct 15, 2018","0.005378","0.005252","0.005789","0.005236","116.62M","2.40%"
"Oct 14, 2018","0.005252","0.005250","0.005310","0.005230","108.32M","0.04%"
"Oct 13, 2018","0.005250","0.005255","0.005306","0.005217","85.95M","-0.49%"
"Oct 12, 2018","0.005276","0.005014","0.005384","0.004986","104.97M","5.04%"
"Oct 11, 2018","0.005023","0.005616","0.005616","0.004780","143.03M","-10.54%"
